n_random_features,model_score,features
10,0.826,"[('corr', ('skew', ('corr', ('kurtosis', ('argmax', 'N')), 'E')), 'E'), ('min', 'N'), 'E', ('argmax', ('corr', ('skew', 'N'), ('corr', ('re_fft', ('re_fft', 'E')), 'Z'))), ('corr', ('skew', ('re_fft', 'Z')), ('skew', ('argmax', 'N'))), ('max', ('+', ('min', ('+', ('+', 'Z', 'E'), 'E')), 'Z')), ('skew', ('max', ('+', ('max', ('kurtosis', 'Z')), ('+', ('max', 'N'), 'Z')))), 'N', ('+', 'E', ('max', ('+', ('+', ('re_fft', 'E'), ('kurtosis', 'Z')), 'N'))), ('kurtosis', ('argmax', 'E'))]"
10,0.797,"[('+', ('argmax', 'N'), ('kurtosis', 'Z')), ('argmax', ('re_fft', ('max', ('corr', 'E', ('skew', 'Z'))))), 'Z', ('+', ('argmax', 'Z'), 'N'), 'E', 'E', ('max', 'N'), 'N', ('corr', ('kurtosis', ('argmax', ('+', ('corr', 'E', 'E'), ('+', 'Z', 'E')))), ('corr', ('argmax', ('max', ('kurtosis', 'N'))), ('skew', 'E'))), ('skew', ('kurtosis', ('min', ('min', ('+', 'Z', 'N')))))]"
10,0.691,"['N', ('kurtosis', ('re_fft', ('+', ('max', 'Z'), 'N'))), ('corr', ('min', 'E'), 'E'), ('max', ('max', 'N')), ('+', ('argmax', ('min', 'E')), 'E'), ('skew', ('skew', ('re_fft', ('corr', ('corr', 'Z', 'Z'), 'E')))), 'E', ('skew', ('max', ('argmax', ('+', ('corr', 'E', 'E'), ('corr', 'E', 'E'))))), ('+', ('argmax', ('re_fft', 'N')), ('min', 'E')), ('skew', 'N')]"
10,0.824,"[('min', ('+', 'E', ('skew', 'E'))), ('skew', ('kurtosis', ('max', ('max', 'Z')))), ('re_fft', 'N'), ('min', ('kurtosis', ('min', ('max', ('corr', 'E', 'N'))))), ('+', ('skew', 'E'), 'N'), ('kurtosis', ('max', ('re_fft', ('re_fft', ('argmax', 'E'))))), 'Z', ('re_fft', ('max', ('max', ('argmax', ('corr', 'Z', 'E'))))), ('min', ('skew', ('min', ('corr', ('skew', 'Z'), ('min', 'Z'))))), ('max', ('argmax', ('min', ('max', 'N'))))]"
10,0.793,"['N', ('corr', ('+', ('kurtosis', 'Z'), 'Z'), 'Z'), ('re_fft', 'N'), ('skew', ('max', 'Z')), ('kurtosis', ('min', 'E')), ('max', ('max', ('min', ('+', 'N', ('kurtosis', 'N'))))), 'Z', ('corr', ('corr', ('re_fft', ('+', ('min', 'N'), ('min', 'N'))), ('re_fft', ('re_fft', ('re_fft', 'E')))), ('re_fft', ('re_fft', ('re_fft', 'Z')))), 'Z', ('corr', ('+', ('re_fft', ('min', ('max', 'N'))), ('re_fft', 'N')), 'E')]"
10,0.657,"['Z', ('corr', ('min', ('corr', 'N', ('+', 'E', ('max', 'Z')))), ('corr', 'Z', ('max', ('min', ('argmax', 'N'))))), ('corr', ('corr', ('max', ('re_fft', 'E')), 'E'), ('+', ('re_fft', 'E'), ('corr', 'N', ('re_fft', ('kurtosis', 'E'))))), 'N', 'E', 'Z', ('max', ('kurtosis', ('argmax', 'E'))), ('re_fft', 'E'), 'E', ('max', ('corr', ('kurtosis', ('re_fft', ('max', 'N'))), 'Z'))]"
10,0.794,"[('+', ('corr', ('argmax', ('max', ('max', 'E'))), ('skew', ('+', ('+', 'E', 'E'), ('argmax', 'Z')))), ('re_fft', ('re_fft', 'Z'))), ('argmax', ('min', ('kurtosis', ('corr', ('max', 'N'), ('min', 'E'))))), ('re_fft', ('min', 'N')), ('argmax', ('argmax', 'N')), ('min', ('+', ('skew', 'E'), 'Z')), ('skew', 'E'), 'N', 'Z', 'Z', ('re_fft', ('skew', ('kurtosis', 'Z')))]"
10,0.758,"[('max', ('min', ('min', ('kurtosis', ('min', 'E'))))), ('corr', ('kurtosis', ('max', 'E')), ('re_fft', 'Z')), ('re_fft', ('min', ('corr', 'E', ('kurtosis', 'N')))), 'E', ('corr', ('re_fft', 'N'), ('min', 'E')), ('corr', 'E', ('kurtosis', ('+', ('argmax', ('skew', 'N')), ('skew', ('re_fft', 'Z'))))), ('argmax', ('min', ('re_fft', ('skew', ('skew', 'Z'))))), ('re_fft', ('max', 'E')), 'Z', ('argmax', 'Z')]"
15,0.845,"[('corr', ('max', 'N'), ('skew', ('corr', ('corr', ('argmax', 'E'), 'E'), ('kurtosis', ('skew', 'E'))))), ('skew', 'Z'), ('min', 'E'), 'Z', ('argmax', ('skew', ('skew', 'N'))), 'Z', ('corr', ('re_fft', ('corr', ('kurtosis', ('skew', 'Z')), ('+', ('skew', 'Z'), ('corr', 'Z', 'N')))), ('max', 'E')), ('min', ('kurtosis', 'E')), ('argmax', ('argmax', 'E')), ('re_fft', 'E'), ('skew', ('+', ('min', ('max', ('max', 'E'))), 'N')), ('min', ('kurtosis', ('skew', ('kurtosis', 'E')))), ('max', ('corr', ('kurtosis', ('+', ('kurtosis', 'Z'), ('re_fft', 'E'))), 'Z')), ('kurtosis', ('skew', ('skew', ('max', ('max', 'Z'))))), ('kurtosis', ('argmax', ('max', ('re_fft', ('+', 'Z', 'Z')))))]"
15,0.848,"[('min', ('skew', ('argmax', ('argmax', ('min', 'E'))))), ('argmax', ('argmax', ('corr', ('re_fft', ('kurtosis', 'N')), ('skew', ('skew', 'E'))))), ('min', 'N'), ('argmax', ('min', 'Z')), ('kurtosis', ('kurtosis', 'Z')), ('corr', ('max', ('min', 'Z')), ('re_fft', ('skew', 'E'))), ('kurtosis', ('skew', 'Z')), ('skew', 'Z'), ('max', ('max', ('+', ('corr', ('max', 'Z'), 'E'), ('re_fft', ('+', 'N', 'E'))))), ('+', 'N', ('argmax', ('skew', ('min', 'N')))), ('corr', ('+', ('re_fft', ('min', 'N')), ('argmax', ('corr', ('min', 'E'), ('min', 'N')))), ('corr', ('skew', ('kurtosis', ('+', 'Z', 'N'))), 'E')), ('corr', 'E', ('corr', ('+', ('max', ('kurtosis', 'N')), ('+', ('max', 'E'), 'E')), ('skew', ('argmax', ('min', 'Z'))))), ('corr', 'N', ('+', 'Z', 'Z')), ('+', ('corr', ('min', ('skew', ('+', 'Z', 'Z'))), ('corr', 'E', ('max', ('re_fft', 'Z')))), ('min', 'Z')), ('min', ('+', ('argmax', ('corr', ('skew', 'E'), ('re_fft', 'Z'))), ('re_fft', ('max', ('re_fft', 'Z')))))]"
15,0.762,"[('max', 'N'), 'E', ('skew', ('argmax', ('re_fft', ('corr', ('kurtosis', 'N'), ('kurtosis', 'N'))))), 'E', ('corr', 'E', 'N'), ('skew', ('argmax', 'E')), ('kurtosis', ('skew', ('min', ('skew', ('re_fft', 'N'))))), 'E', 'N', ('re_fft', ('argmax', 'Z')), ('argmax', 'Z'), ('corr', ('re_fft', 'Z'), ('argmax', ('re_fft', ('corr', ('max', 'E'), 'N')))), 'Z', ('+', ('corr', ('max', ('argmax', ('+', 'E', 'N'))), ('argmax', ('skew', ('min', 'N')))), 'E'), ('skew', ('min', ('skew', 'Z')))]"
15,0.688,"['Z', 'E', ('skew', ('re_fft', ('+', 'N', ('skew', 'N')))), 'E', ('kurtosis', ('max', ('argmax', ('re_fft', ('min', 'N'))))), ('corr', ('max', ('skew', ('kurtosis', ('re_fft', 'E')))), 'E'), 'Z', ('re_fft', ('kurtosis', ('min', 'N'))), ('min', ('corr', ('re_fft', ('skew', ('min', 'N'))), 'E')), 'E', ('corr', ('re_fft', ('skew', 'N')), ('skew', 'Z')), ('skew', ('min', 'E')), ('skew', ('argmax', 'N')), ('re_fft', ('+', 'N', 'E')), 'E']"
15,0.823,"['N', ('skew', ('re_fft', 'Z')), ('kurtosis', ('corr', 'E', ('max', 'N'))), ('kurtosis', ('re_fft', ('kurtosis', ('min', ('re_fft', 'E'))))), ('corr', 'E', ('max', 'N')), ('argmax', ('re_fft', ('min', ('max', ('+', 'N', 'E'))))), ('min', ('re_fft', ('skew', ('min', ('re_fft', 'E'))))), ('re_fft', ('re_fft', ('corr', 'E', 'Z'))), ('corr', ('re_fft', ('max', ('min', 'E'))), ('+', 'E', ('re_fft', ('+', 'Z', 'N')))), 'Z', 'N', ('skew', ('min', 'Z')), 'N', ('max', 'Z'), 'N']"
15,0.822,"[('max', 'Z'), ('skew', 'Z'), ('re_fft', ('re_fft', ('kurtosis', 'E'))), ('min', ('max', ('kurtosis', 'E'))), 'E', ('kurtosis', ('kurtosis', ('kurtosis', ('skew', 'Z')))), ('+', 'E', ('skew', ('kurtosis', ('corr', ('+', 'Z', 'E'), ('argmax', 'Z'))))), ('re_fft', ('min', 'N')), ('max', ('+', ('argmax', ('max', ('max', 'Z'))), 'Z')), ('+', 'E', 'Z'), ('+', ('+', ('re_fft', ('max', 'E')), 'E'), 'Z'), ('kurtosis', ('argmax', ('min', 'E'))), 'Z', ('argmax', ('min', ('+', ('re_fft', ('re_fft', 'Z')), ('skew', ('re_fft', 'N'))))), ('max', ('skew', ('skew', ('argmax', ('re_fft', 'N')))))]"
15,0.762,"[('+', ('min', ('corr', ('skew', 'N'), ('+', ('corr', 'E', 'N'), ('max', 'N')))), ('corr', 'Z', ('argmax', 'E'))), 'E', ('re_fft', 'Z'), ('kurtosis', ('kurtosis', ('min', 'E'))), ('max', ('max', ('re_fft', 'E'))), ('skew', ('re_fft', 'Z')), ('skew', ('re_fft', ('re_fft', 'E'))), 'Z', 'N', 'Z', 'E', ('skew', ('corr', ('max', ('argmax', ('re_fft', 'E'))), ('kurtosis', ('argmax', ('corr', 'E', 'N'))))), 'Z', ('argmax', ('max', ('+', ('kurtosis', 'E'), ('re_fft', 'E')))), 'Z']"
15,0.803,"[('argmax', ('min', ('skew', 'N'))), ('corr', 'N', ('+', 'N', ('corr', ('max', ('argmax', 'Z')), 'N'))), ('kurtosis', ('min', ('kurtosis', 'E'))), ('re_fft', 'N'), ('re_fft', ('corr', ('kurtosis', ('re_fft', ('re_fft', 'N'))), ('re_fft', ('re_fft', ('argmax', 'Z'))))), ('corr', 'N', ('kurtosis', ('kurtosis', ('min', ('kurtosis', 'E'))))), 'E', ('argmax', 'N'), ('corr', ('max', 'E'), ('min', ('+', 'N', ('min', 'Z')))), ('skew', ('kurtosis', ('+', 'Z', ('+', ('argmax', 'N'), 'N')))), ('min', 'Z'), ('argmax', ('skew', 'Z')), 'N', ('min', ('corr', ('kurtosis', ('kurtosis', ('min', 'N'))), 'E')), 'E']"
15,0.863,"['Z', ('argmax', 'Z'), 'Z', ('min', ('max', ('max', ('kurtosis', 'E')))), ('re_fft', ('min', ('corr', ('+', 'N', ('corr', 'E', 'Z')), ('kurtosis', ('re_fft', 'N'))))), ('min', 'Z'), 'E', ('+', ('re_fft', ('corr', ('skew', ('skew', 'Z')), 'N')), 'Z'), ('skew', ('skew', ('+', ('min', ('max', 'N')), ('min', 'N')))), ('skew', ('max', 'N')), ('kurtosis', 'N'), ('argmax', ('corr', ('re_fft', ('max', ('re_fft', 'Z'))), ('max', 'E'))), 'E', ('re_fft', ('max', ('max', ('argmax', ('min', 'N'))))), ('+', 'E', 'N')]"
15,0.840,"[('kurtosis', ('skew', 'Z')), ('max', 'N'), ('min', ('corr', 'Z', ('kurtosis', 'Z'))), ('skew', ('corr', ('argmax', ('min', ('+', 'N', 'Z'))), ('kurtosis', 'N'))), ('skew', ('argmax', ('min', 'Z'))), ('max', ('kurtosis', ('max', 'E'))), ('max', ('argmax', ('re_fft', 'N'))), ('+', 'Z', 'N'), ('max', ('min', ('kurtosis', ('re_fft', ('corr', 'E', 'Z'))))), ('argmax', ('corr', ('max', 'E'), ('+', ('kurtosis', ('skew', 'E')), ('+', ('min', 'E'), ('max', 'Z'))))), ('re_fft', ('max', ('argmax', ('min', ('min', 'N'))))), ('+', 'N', 'Z'), ('max', ('min', ('re_fft', 'E'))), ('max', ('corr', ('skew', ('re_fft', 'N')), 'E')), 'Z']"
20,0.810,"['N', 'N', ('min', ('max', ('argmax', 'E'))), ('corr', 'E', ('skew', ('max', 'E'))), 'Z', ('re_fft', ('skew', ('max', ('+', ('+', 'Z', 'Z'), ('min', 'N'))))), 'N', ('min', 'E'), ('skew', ('argmax', 'E')), ('kurtosis', 'Z'), ('kurtosis', ('+', ('max', 'Z'), 'N')), ('kurtosis', ('corr', 'E', ('kurtosis', ('corr', ('min', 'Z'), 'E')))), 'N', 'Z', 'Z', ('re_fft', 'Z'), ('+', ('re_fft', ('skew', 'E')), ('skew', ('kurtosis', 'Z'))), 'E', ('skew', ('re_fft', ('skew', 'E'))), ('max', 'E')]"
20,0.851,"['Z', 'N', ('skew', ('argmax', ('skew', 'E'))), ('max', ('max', ('re_fft', 'E'))), 'Z', ('re_fft', 'E'), ('max', ('min', ('+', 'Z', ('kurtosis', ('max', 'Z'))))), ('kurtosis', ('+', ('kurtosis', ('re_fft', ('argmax', 'Z'))), 'Z')), ('argmax', ('re_fft', 'Z')), ('kurtosis', 'Z'), 'N', ('re_fft', ('re_fft', ('min', 'Z'))), ('max', 'N'), ('max', ('skew', ('skew', ('kurtosis', 'N')))), ('corr', ('argmax', ('skew', ('re_fft', ('argmax', 'N')))), ('max', ('argmax', ('corr', ('min', 'Z'), ('+', 'E', 'E'))))), ('+', ('+', ('argmax', ('argmax', ('argmax', 'Z'))), ('skew', 'Z')), ('re_fft', ('argmax', 'N'))), 'Z', ('kurtosis', ('min', ('min', 'E'))), ('re_fft', ('+', 'E', 'E')), 'E']"
20,0.825,"[('skew', 'Z'), 'Z', ('min', ('corr', ('skew', 'Z'), ('+', ('+', ('skew', 'N'), ('+', 'N', 'Z')), ('+', 'E', ('argmax', 'E'))))), ('kurtosis', ('argmax', ('+', ('+', ('re_fft', 'Z'), ('corr', 'E', 'E')), 'E'))), ('max', ('re_fft', ('corr', ('skew', ('max', 'E')), ('re_fft', ('skew', 'Z'))))), ('kurtosis', 'E'), ('kurtosis', ('+', 'E', 'N')), ('re_fft', ('+', ('corr', 'E', ('argmax', ('re_fft', 'N'))), ('max', ('argmax', ('+', 'E', 'E'))))), 'Z', ('min', ('kurtosis', ('re_fft', ('argmax', 'E')))), ('+', 'N', ('re_fft', ('re_fft', ('skew', ('argmax', 'Z'))))), ('argmax', 'E'), 'E', ('skew', 'Z'), 'N', ('re_fft', ('min', ('min', 'Z'))), 'N', ('min', ('skew', 'E')), ('max', ('min', ('+', ('skew', 'N'), 'E'))), 'N']"
20,0.814,"[('re_fft', ('skew', 'N')), 'Z', ('+', 'E', ('corr', ('skew', ('re_fft', 'Z')), 'N')), 'E', ('re_fft', ('+', 'E', 'E')), ('skew', 'E'), ('argmax', 'N'), ('skew', 'E'), ('min', ('+', ('re_fft', ('argmax', ('argmax', 'Z'))), ('max', ('corr', ('argmax', 'E'), ('corr', 'E', 'E'))))), 'E', ('min', ('argmax', ('skew', 'Z'))), 'N', ('+', ('+', ('kurtosis', ('+', ('kurtosis', 'N'), 'Z')), ('corr', ('corr', ('skew', 'Z'), ('corr', 'E', 'N')), ('+', ('argmax', 'N'), ('kurtosis', 'Z')))), 'Z'), ('kurtosis', 'N'), ('max', ('kurtosis', 'Z')), ('kurtosis', 'E'), ('min', 'Z'), ('argmax', ('re_fft', ('max', ('skew', ('min', 'N'))))), ('re_fft', ('min', ('corr', ('kurtosis', 'E'), 'Z'))), ('kurtosis', 'Z')]"
20,0.828,"[('argmax', 'Z'), 'Z', ('skew', 'N'), ('max', 'N'), 'E', ('max', ('max', ('+', 'Z', 'Z'))), ('argmax', ('argmax', ('skew', ('argmax', 'E')))), 'Z', ('+', ('kurtosis', 'N'), ('skew', ('min', 'Z'))), 'E', ('re_fft', ('min', 'N')), ('kurtosis', ('corr', 'Z', ('+', ('kurtosis', ('max', 'Z')), ('kurtosis', 'N')))), 'N', ('skew', ('min', ('skew', ('+', 'N', ('argmax', 'N'))))), ('skew', ('+', ('kurtosis', 'E'), ('argmax', 'N'))), ('min', ('corr', ('skew', ('argmax', ('argmax', 'N'))), ('argmax', ('re_fft', ('argmax', 'Z'))))), ('kurtosis', ('re_fft', ('max', ('kurtosis', 'E')))), ('corr', 'Z', 'N'), ('corr', ('argmax', ('+', 'Z', 'E')), ('max', 'N')), 'Z']"
20,0.821,"[('+', ('corr', ('min', 'E'), 'E'), ('kurtosis', 'Z')), 'N', ('min', ('kurtosis', 'N')), 'Z', 'N', 'N', ('re_fft', ('corr', ('argmax', ('+', ('re_fft', 'E'), 'E')), ('skew', 'N'))), ('kurtosis', ('min', ('min', ('skew', ('min', 'E'))))), 'Z', ('+', 'Z', ('re_fft', ('corr', ('max', 'Z'), 'Z'))), ('re_fft', ('kurtosis', ('skew', ('min', 'N')))), 'Z', 'E', ('skew', ('+', 'N', 'N')), ('+', ('corr', ('skew', ('corr', ('corr', 'N', 'N'), 'Z')), 'E'), ('argmax', ('skew', ('kurtosis', ('+', 'E', 'E'))))), ('argmax', ('argmax', 'N')), 'Z', ('kurtosis', ('min', 'Z')), 'E', ('argmax', 'Z')]"
20,0.834,"['N', ('skew', 'Z'), 'E', ('corr', ('re_fft', ('re_fft', ('skew', ('corr', 'E', 'Z')))), ('argmax', 'E')), ('corr', ('max', ('argmax', ('argmax', ('max', 'N')))), 'Z'), ('kurtosis', 'N'), ('corr', ('argmax', ('re_fft', ('max', ('skew', 'Z')))), ('min', ('skew', ('max', ('kurtosis', 'E'))))), ('argmax', ('max', ('re_fft', ('+', ('min', 'E'), ('+', 'E', 'N'))))), ('argmax', ('argmax', ('kurtosis', 'N'))), 'Z', ('kurtosis', ('+', ('re_fft', ('argmax', 'N')), ('max', ('corr', 'N', ('corr', 'Z', 'Z'))))), ('+', 'Z', ('skew', 'N')), 'E', ('+', ('min', 'Z'), ('argmax', ('+', 'E', ('+', 'E', ('max', 'E'))))), 'E', ('+', 'E', ('+', ('kurtosis', 'Z'), 'E')), ('re_fft', 'N'), ('kurtosis', ('min', ('re_fft', ('argmax', 'N')))), ('re_fft', ('kurtosis', ('corr', ('max', ('min', 'Z')), ('kurtosis', ('min', 'N'))))), 'E']"
20,0.761,"['Z', 'Z', ('argmax', 'N'), ('corr', 'N', ('min', ('re_fft', 'E'))), ('kurtosis', ('skew', ('min', ('max', ('re_fft', 'N'))))), 'Z', 'Z', 'E', 'N', ('argmax', ('+', 'Z', ('argmax', 'Z'))), ('kurtosis', ('skew', 'N')), ('skew', 'N'), ('corr', ('min', ('max', ('min', ('skew', 'E')))), ('re_fft', ('skew', ('argmax', 'N')))), 'N', 'E', ('max', ('argmax', ('min', ('argmax', ('kurtosis', 'E'))))), ('skew', 'Z'), ('corr', 'N', ('argmax', ('corr', 'E', ('skew', 'E')))), 'N', 'N']"
20,0.813,"[('re_fft', ('argmax', ('re_fft', ('skew', ('min', 'Z'))))), 'E', 'N', 'N', ('kurtosis', ('max', ('max', ('skew', ('kurtosis', 'N'))))), 'Z', ('argmax', 'N'), 'Z', ('re_fft', ('argmax', ('+', 'Z', ('re_fft', ('min', 'N'))))), ('kurtosis', ('min', ('max', ('skew', ('re_fft', 'N'))))), ('kurtosis', 'E'), ('kurtosis', ('corr', ('kurtosis', ('min', ('argmax', 'E'))), ('skew', ('re_fft', ('re_fft', 'Z'))))), ('+', ('skew', 'E'), 'Z'), ('re_fft', 'E'), ('corr', 'E', 'E'), ('argmax', ('max', ('corr', ('corr', ('re_fft', 'Z'), ('max', 'E')), ('argmax', ('kurtosis', 'Z'))))), 'N', 'E', 'Z', ('min', ('argmax', 'E'))]"
20,0.805,"[('kurtosis', ('kurtosis', 'E')), ('corr', 'Z', 'N'), ('argmax', ('kurtosis', ('skew', ('max', 'E')))), 'N', 'Z', ('corr', ('skew', ('argmax', ('argmax', ('kurtosis', 'E')))), 'E'), ('+', ('max', ('skew', ('corr', ('corr', 'E', 'Z'), ('skew', 'E')))), 'Z'), ('skew', 'Z'), ('max', 'N'), ('argmax', ('max', ('kurtosis', 'Z'))), ('max', 'N'), 'E', ('corr', ('kurtosis', ('+', 'E', ('min', 'N'))), 'N'), ('+', 'E', ('re_fft', ('min', ('re_fft', ('re_fft', 'E'))))), ('+', ('argmax', ('min', 'Z')), ('re_fft', ('kurtosis', ('argmax', ('+', 'E', 'Z'))))), ('min', ('skew', ('min', ('skew', ('corr', 'N', 'E'))))), 'N', ('skew', ('argmax', ('+', ('skew', 'E'), ('skew', ('re_fft', 'N'))))), 'E', 'N']"
25,0.857,"['E', 'Z', ('skew', ('re_fft', ('argmax', ('+', 'E', ('re_fft', 'N'))))), 'E', 'Z', 'Z', ('corr', ('max', 'E'), ('kurtosis', ('corr', ('+', 'Z', 'E'), 'N'))), 'Z', ('skew', ('kurtosis', ('corr', 'Z', ('corr', 'N', ('max', 'E'))))), 'E', ('corr', ('skew', 'N'), ('min', ('+', 'N', ('min', ('argmax', 'E'))))), ('+', ('kurtosis', ('corr', 'E', ('+', ('min', 'Z'), ('+', 'E', 'E')))), ('min', ('re_fft', 'E'))), ('kurtosis', ('+', 'Z', 'E')), ('argmax', 'E'), ('min', 'N'), ('kurtosis', ('min', ('corr', 'Z', 'E'))), 'E', ('kurtosis', 'Z'), 'N', ('+', 'Z', ('min', ('max', 'Z'))), ('skew', ('argmax', 'E')), ('skew', ('re_fft', ('argmax', ('+', ('max', 'N'), ('min', 'N'))))), ('argmax', ('max', ('corr', ('+', ('+', 'E', 'E'), ('re_fft', 'Z')), 'Z'))), 'Z', ('+', 'Z', ('corr', ('skew', ('kurtosis', 'Z')), ('re_fft', ('argmax', ('max', 'Z')))))]"
25,0.831,"[('argmax', 'E'), ('corr', 'N', 'Z'), ('skew', 'Z'), 'N', 'E', ('kurtosis', 'E'), 'N', ('min', 'Z'), ('corr', ('min', 'E'), 'Z'), ('min', 'E'), ('min', ('+', ('max', 'Z'), ('max', ('corr', 'N', ('argmax', 'E'))))), ('min', ('corr', ('kurtosis', ('corr', ('corr', 'N', 'Z'), ('skew', 'E'))), ('max', 'N'))), ('max', 'N'), 'Z', ('argmax', 'E'), ('+', ('argmax', 'E'), 'N'), ('skew', ('kurtosis', ('max', 'E'))), 'Z', ('corr', ('argmax', ('kurtosis', 'Z')), ('argmax', ('re_fft', ('min', ('re_fft', 'Z'))))), 'Z', ('re_fft', ('corr', ('min', ('kurtosis', 'Z')), ('max', ('corr', ('+', 'Z', 'N'), ('skew', 'N'))))), ('re_fft', ('min', ('re_fft', ('corr', 'E', ('max', 'N'))))), 'E', ('+', ('re_fft', ('+', ('skew', 'Z'), 'E')), ('+', ('+', ('skew', ('+', 'Z', 'N')), ('skew', ('max', 'Z'))), 'E')), ('max', ('skew', ('+', ('corr', ('re_fft', 'E'), ('+', 'E', 'E')), 'N')))]"
25,0.879,"[('re_fft', ('argmax', ('argmax', ('kurtosis', ('re_fft', 'Z'))))), ('min', 'Z'), 'Z', 'N', ('corr', ('re_fft', ('corr', ('+', 'E', 'E'), 'E')), ('corr', ('argmax', 'Z'), ('min', 'Z'))), 'Z', ('re_fft', ('argmax', ('+', 'N', ('+', ('corr', 'N', 'N'), ('min', 'Z'))))), ('min', ('skew', 'N')), ('corr', ('+', ('max', ('max', ('skew', 'N'))), 'Z'), 'Z'), 'Z', ('+', ('corr', 'Z', ('argmax', ('argmax', ('re_fft', 'N')))), ('+', 'Z', ('kurtosis', ('argmax', ('kurtosis', 'E'))))), 'Z', ('skew', ('max', ('+', ('min', 'E'), ('corr', ('+', 'E', 'N'), ('argmax', 'Z'))))), ('max', ('kurtosis', ('re_fft', ('max', ('min', 'E'))))), ('re_fft', ('skew', ('max', 'Z'))), ('+', ('kurtosis', 'E'), ('max', ('kurtosis', 'Z'))), ('min', ('corr', ('+', ('min', ('corr', 'Z', 'E')), 'E'), ('kurtosis', 'Z'))), ('skew', ('min', 'E')), ('corr', ('skew', ('kurtosis', ('+', ('re_fft', 'N'), ('skew', 'N')))), ('+', 'Z', ('+', ('re_fft', ('skew', 'E')), ('min', ('argmax', 'Z'))))), 'Z', ('min', ('corr', ('corr', 'Z', 'N'), 'E')), ('kurtosis', ('min', ('argmax', ('argmax', ('re_fft', 'N'))))), 'E', ('corr', ('argmax', 'N'), ('kurtosis', ('+', ('argmax', 'N'), ('max', 'N')))), ('corr', ('re_fft', ('skew', ('max', 'E'))), ('kurtosis', 'Z'))]"
