n_random_features,model_score,features
10,0.687,"[('re_fft', ('kurtosis', ('corr', ('argmax', 'N'), ('argmax', ('min', 'N'))))), ('min', ('skew', ('max', ('skew', ('min', 'E'))))), ('max', ('re_fft', ('+', 'N', ('argmax', 'E')))), ('corr', ('+', 'Z', 'N'), 'E'), 'Z', 'N', ('re_fft', 'N'), ('+', 'N', 'Z'), 'E', ('max', ('corr', 'N', ('kurtosis', 'E')))]"
10,0.675,"['N', ('min', ('argmax', ('skew', ('max', 'E')))), ('corr', ('kurtosis', ('argmax', 'Z')), ('re_fft', 'N')), ('min', ('argmax', ('argmax', ('argmax', ('corr', 'N', 'E'))))), ('kurtosis', ('corr', 'Z', ('argmax', 'N'))), ('argmax', 'N'), 'N', 'E', ('argmax', ('corr', ('argmax', 'Z'), 'E')), 'Z']"
10,0.778,"['N', ('skew', 'N'), 'E', 'Z', 'N', ('max', 'N'), ('+', 'E', ('min', 'Z')), ('kurtosis', ('+', ('argmax', ('skew', ('re_fft', 'N'))), 'N')), ('skew', 'N'), ('re_fft', ('+', 'E', ('argmax', ('kurtosis', ('skew', 'N')))))]"
10,0.789,"[('max', 'Z'), ('re_fft', ('+', 'E', 'E')), ('corr', ('re_fft', 'Z'), ('max', 'N')), 'Z', ('+', ('re_fft', ('skew', ('corr', ('re_fft', 'N'), ('re_fft', 'N')))), ('kurtosis', ('skew', ('argmax', 'E')))), ('max', ('kurtosis', 'N')), 'E', 'Z', ('min', 'N'), ('re_fft', ('kurtosis', ('corr', ('min', 'E'), 'Z')))]"
10,0.801,"[('+', 'N', ('min', ('max', ('kurtosis', ('re_fft', 'E'))))), ('kurtosis', 'N'), ('max', ('kurtosis', 'N')), ('+', ('+', ('+', ('skew', ('max', 'E')), ('re_fft', ('argmax', 'N'))), ('skew', 'Z')), ('re_fft', 'E')), ('min', ('re_fft', ('corr', 'Z', ('max', 'N')))), ('kurtosis', ('re_fft', ('skew', ('kurtosis', ('min', 'E'))))), 'E', ('kurtosis', ('corr', 'Z', ('corr', 'Z', ('argmax', ('+', 'Z', 'Z'))))), ('corr', ('+', ('re_fft', ('max', ('re_fft', 'N'))), 'E'), ('re_fft', 'E')), ('min', ('re_fft', ('corr', ('+', 'E', ('min', 'E')), ('argmax', ('max', 'Z')))))]"
10,0.804,"[('max', ('re_fft', ('argmax', ('+', ('argmax', 'Z'), 'Z')))), ('+', ('corr', 'Z', ('re_fft', ('corr', 'N', ('max', 'N')))), 'Z'), ('corr', 'E', ('max', 'N')), ('min', ('kurtosis', ('max', 'E'))), ('kurtosis', ('+', 'E', ('max', 'Z'))), 'N', ('min', ('re_fft', ('skew', ('corr', 'Z', 'Z')))), ('argmax', ('skew', ('+', ('skew', ('+', 'Z', 'N')), ('skew', ('skew', 'N'))))), ('max', 'N'), ('kurtosis', 'N')]"
15,0.806,"[('max', 'N'), ('skew', ('+', ('argmax', ('min', 'E')), 'Z')), ('skew', ('+', 'Z', ('skew', ('min', ('min', 'Z'))))), ('min', ('+', ('re_fft', ('max', 'E')), ('corr', 'N', ('kurtosis', 'Z')))), 'E', ('max', ('skew', 'Z')), ('min', 'Z'), ('kurtosis', ('min', ('min', 'N'))), ('max', ('kurtosis', 'Z')), ('+', ('kurtosis', ('kurtosis', ('+', ('argmax', 'Z'), ('corr', 'N', 'E')))), 'N'), ('skew', ('kurtosis', ('argmax', ('+', ('re_fft', 'N'), ('skew', 'E'))))), ('skew', ('re_fft', 'Z')), 'N', ('+', ('argmax', ('max', 'Z')), 'E'), ('skew', ('skew', 'E'))]"
15,0.804,"[('re_fft', ('kurtosis', 'N')), ('+', ('re_fft', ('max', ('+', ('re_fft', 'Z'), ('kurtosis', 'N')))), ('max', ('+', 'E', ('+', 'N', ('skew', 'E'))))), ('skew', ('min', ('max', ('skew', 'E')))), ('kurtosis', ('skew', ('skew', 'Z'))), ('max', ('max', 'E')), ('kurtosis', ('skew', ('re_fft', ('re_fft', ('argmax', 'E'))))), ('corr', ('corr', ('corr', ('skew', ('skew', 'N')), 'Z'), 'E'), 'Z'), ('max', ('min', 'N')), ('kurtosis', ('argmax', 'Z')), ('min', 'E'), 'N', ('kurtosis', ('corr', ('+', ('min', ('kurtosis', 'E')), ('re_fft', ('skew', 'E'))), 'N')), ('+', ('min', ('argmax', ('argmax', ('min', 'N')))), 'N'), ('argmax', ('kurtosis', ('+', 'N', ('min', 'E')))), ('kurtosis', ('skew', 'N'))]"
15,0.777,"[('corr', ('max', ('skew', ('max', ('skew', 'E')))), ('corr', 'N', 'E')), ('skew', ('+', ('argmax', ('max', ('re_fft', 'N'))), 'N')), 'E', ('min', ('kurtosis', ('re_fft', ('kurtosis', ('kurtosis', 'N'))))), ('re_fft', ('+', ('max', ('corr', ('corr', 'N', 'N'), ('re_fft', 'N'))), ('corr', ('argmax', ('min', 'E')), 'E'))), 'N', ('argmax', ('max', ('min', 'N'))), 'Z', 'Z', 'E', ('corr', 'Z', ('re_fft', ('max', 'E'))), 'E', 'E', ('+', ('min', ('max', ('corr', ('max', 'Z'), 'N'))), ('min', ('kurtosis', 'N'))), ('max', 'Z')]"
15,0.824,"[('corr', ('min', ('min', 'Z')), ('re_fft', ('min', ('skew', 'E')))), 'Z', 'Z', ('min', ('max', ('re_fft', 'Z'))), 'E', ('argmax', ('skew', ('+', ('+', ('re_fft', 'Z'), ('+', 'Z', 'E')), ('+', 'N', 'Z')))), ('argmax', 'Z'), 'Z', ('min', 'N'), ('corr', ('min', 'E'), ('min', ('+', 'N', 'Z'))), ('argmax', ('argmax', ('argmax', ('corr', ('corr', 'E', 'N'), 'Z')))), ('min', ('skew', ('corr', ('skew', 'Z'), 'N'))), ('re_fft', ('+', 'E', ('+', ('corr', ('min', 'E'), ('max', 'E')), ('max', ('max', 'N'))))), ('re_fft', ('skew', 'Z')), ('kurtosis', ('kurtosis', ('kurtosis', ('kurtosis', ('+', 'E', 'Z')))))]"
15,0.794,"['Z', ('max', ('re_fft', ('min', ('min', ('corr', 'N', 'Z'))))), 'N', ('argmax', ('kurtosis', ('min', ('skew', ('skew', 'E'))))), ('skew', ('+', ('argmax', ('re_fft', ('re_fft', 'E'))), ('re_fft', 'Z'))), ('skew', ('+', 'E', ('skew', 'Z'))), ('argmax', 'E'), ('skew', 'E'), 'E', ('+', ('skew', ('max', 'N')), 'Z'), ('argmax', ('max', ('kurtosis', 'Z'))), ('max', ('argmax', ('min', 'N'))), ('kurtosis', 'Z'), 'N', ('argmax', 'Z')]"
15,0.810,"[('max', ('corr', 'N', ('max', 'Z'))), ('re_fft', ('kurtosis', ('argmax', ('re_fft', ('max', 'N'))))), ('+', ('corr', ('min', 'N'), 'Z'), ('min', ('+', ('min', ('argmax', 'N')), ('min', ('argmax', 'N'))))), 'E', ('skew', ('max', ('skew', ('kurtosis', ('+', 'E', 'N'))))), ('re_fft', 'N'), ('max', 'E'), ('corr', ('corr', 'Z', ('kurtosis', 'Z')), ('max', ('re_fft', ('min', 'Z')))), ('skew', 'N'), ('max', 'N'), ('kurtosis', 'Z'), 'E', 'Z', ('min', ('min', ('max', 'Z'))), ('kurtosis', ('max', ('min', 'E')))]"
15,0.803,"['E', ('skew', 'E'), ('+', ('+', ('corr', ('max', ('kurtosis', 'N')), 'Z'), 'Z'), 'Z'), ('+', 'E', ('+', ('kurtosis', 'Z'), 'E')), ('corr', 'E', 'Z'), 'E', ('min', ('skew', ('kurtosis', 'N'))), 'Z', ('corr', ('skew', ('max', ('corr', 'N', ('argmax', 'Z')))), ('kurtosis', ('skew', ('corr', ('+', 'Z', 'Z'), ('re_fft', 'Z'))))), ('re_fft', ('+', ('kurtosis', ('kurtosis', ('argmax', 'N'))), 'E')), 'N', ('max', ('argmax', 'Z')), ('max', ('re_fft', ('min', 'Z'))), 'Z', ('kurtosis', 'Z')]"
15,0.839,"['Z', ('re_fft', ('argmax', ('argmax', ('re_fft', ('max', 'N'))))), ('re_fft', ('+', ('re_fft', 'N'), ('max', ('skew', ('+', 'Z', 'Z'))))), ('corr', ('argmax', 'Z'), ('+', ('kurtosis', ('corr', 'Z', ('argmax', 'E'))), ('argmax', ('skew', ('max', 'Z'))))), ('max', ('kurtosis', ('max', 'Z'))), ('min', ('re_fft', ('max', 'Z'))), ('argmax', ('re_fft', ('kurtosis', 'Z'))), ('argmax', 'Z'), ('argmax', ('min', ('re_fft', 'N'))), ('+', ('re_fft', 'E'), ('corr', ('re_fft', ('min', 'N')), ('skew', ('max', 'Z')))), ('max', ('kurtosis', 'E')), ('corr', ('+', ('skew', ('argmax', ('corr', 'N', 'Z'))), 'E'), ('min', ('skew', ('kurtosis', ('min', 'N'))))), ('re_fft', ('min', 'Z')), ('max', ('+', 'E', ('re_fft', ('max', ('re_fft', 'Z'))))), ('corr', ('kurtosis', 'N'), ('re_fft', ('max', ('kurtosis', ('re_fft', 'N')))))]"
15,0.786,"['Z', ('+', ('skew', ('argmax', ('min', 'Z'))), ('argmax', 'N')), 'E', ('corr', ('argmax', ('corr', ('+', ('+', 'N', 'N'), 'E'), 'N')), 'Z'), ('re_fft', 'E'), ('max', ('argmax', ('skew', ('+', ('min', 'E'), ('argmax', 'N'))))), ('argmax', ('+', ('skew', 'Z'), ('skew', 'N'))), ('corr', ('argmax', ('argmax', ('max', ('skew', 'Z')))), 'N'), ('+', ('corr', 'E', ('re_fft', 'E')), ('min', 'E')), ('corr', ('min', ('+', ('kurtosis', 'N'), 'E')), 'N'), ('argmax', 'N'), ('kurtosis', ('re_fft', ('max', 'N'))), 'E', ('+', ('corr', 'Z', ('kurtosis', 'E')), 'Z'), 'N']"
15,0.713,"[('skew', 'N'), ('max', ('max', ('min', 'E'))), ('corr', 'E', 'Z'), 'E', 'Z', ('max', ('skew', 'Z')), ('re_fft', ('skew', ('corr', ('corr', 'E', ('kurtosis', 'N')), ('min', ('argmax', 'N'))))), 'N', ('skew', ('re_fft', ('+', 'E', ('skew', 'E')))), 'N', ('skew', ('kurtosis', 'N')), ('+', 'N', ('+', 'N', ('argmax', ('skew', 'N')))), ('skew', ('argmax', 'E')), 'E', 'E']"
20,0.786,"[('kurtosis', ('max', ('min', ('max', ('skew', 'Z'))))), ('skew', 'Z'), ('kurtosis', ('argmax', ('re_fft', ('kurtosis', ('corr', 'E', 'Z'))))), ('max', 'E'), 'E', ('+', ('argmax', 'N'), ('corr', ('skew', ('+', 'Z', 'Z')), ('min', ('kurtosis', ('+', 'Z', 'Z'))))), ('argmax', 'E'), 'N', 'Z', ('skew', ('max', ('max', 'E'))), ('+', ('re_fft', ('max', 'N')), ('argmax', ('kurtosis', ('argmax', 'E')))), ('argmax', ('skew', ('+', 'Z', 'Z'))), ('kurtosis', ('re_fft', ('kurtosis', ('argmax', ('skew', 'E'))))), 'N', ('re_fft', ('re_fft', ('min', 'N'))), ('corr', ('argmax', ('min', ('min', 'E'))), ('re_fft', ('kurtosis', ('re_fft', ('+', 'E', 'Z'))))), 'E', ('+', ('kurtosis', 'Z'), ('+', ('re_fft', 'N'), 'Z')), ('+', ('max', 'E'), 'E'), ('argmax', 'N')]"
20,0.827,"[('kurtosis', 'Z'), ('min', ('re_fft', ('argmax', 'E'))), 'E', ('corr', 'E', ('+', ('re_fft', 'N'), ('+', 'Z', ('kurtosis', ('skew', 'Z'))))), ('max', 'Z'), 'N', ('argmax', ('+', ('corr', ('re_fft', 'E'), 'E'), ('max', ('skew', ('argmax', 'N'))))), ('corr', ('min', ('re_fft', 'E')), ('max', ('+', ('argmax', ('kurtosis', 'Z')), ('+', ('kurtosis', 'N'), ('min', 'N'))))), 'E', ('max', ('argmax', ('skew', ('kurtosis', ('max', 'Z'))))), ('max', ('kurtosis', 'N')), 'N', ('+', 'N', ('kurtosis', ('max', ('skew', ('+', 'E', 'E'))))), 'N', ('kurtosis', 'N'), 'Z', ('argmax', ('min', ('re_fft', 'Z'))), ('re_fft', ('re_fft', ('argmax', ('re_fft', ('max', 'Z'))))), ('min', ('argmax', ('min', ('corr', ('max', 'E'), ('skew', 'E'))))), ('corr', 'E', ('corr', ('argmax', 'Z'), ('min', ('max', ('argmax', 'E')))))]"
20,0.839,"[('argmax', ('min', ('min', ('skew', 'Z')))), ('re_fft', ('max', ('max', 'Z'))), ('kurtosis', ('re_fft', ('corr', ('argmax', ('kurtosis', 'Z')), ('corr', ('max', 'E'), 'E')))), ('+', ('min', ('max', ('max', ('re_fft', 'E')))), 'E'), 'Z', 'N', ('min', 'E'), ('corr', ('min', 'N'), ('re_fft', ('corr', 'Z', 'Z'))), ('min', 'N'), 'Z', ('kurtosis', ('corr', ('skew', ('+', ('re_fft', 'N'), 'E')), 'Z')), ('kurtosis', ('min', ('min', 'E'))), ('+', 'Z', 'E'), ('kurtosis', ('argmax', ('argmax', 'N'))), ('min', 'Z'), ('re_fft', ('+', ('min', ('argmax', 'Z')), ('re_fft', ('skew', ('argmax', 'N'))))), ('re_fft', ('skew', ('skew', 'E'))), ('kurtosis', ('re_fft', 'Z')), ('min', 'N'), ('skew', ('corr', ('re_fft', 'N'), ('kurtosis', ('re_fft', ('corr', 'Z', 'E')))))]"
20,0.808,"[('+', ('min', ('max', ('skew', 'Z'))), ('argmax', 'E')), 'Z', ('corr', ('skew', ('skew', 'N')), ('skew', ('kurtosis', ('+', 'N', ('max', 'Z'))))), ('kurtosis', 'N'), ('max', 'Z'), ('kurtosis', 'E'), 'Z', ('+', 'Z', ('skew', ('skew', ('re_fft', ('skew', 'Z'))))), ('skew', ('max', 'E')), ('corr', 'Z', ('skew', ('min', ('skew', ('min', 'N'))))), ('corr', 'E', ('kurtosis', ('+', ('max', ('+', 'E', 'E')), 'Z'))), ('max', 'E'), 'E', ('corr', 'Z', 'E'), 'N', 'E', ('skew', ('+', ('argmax', ('kurtosis', ('skew', 'Z'))), ('kurtosis', ('max', ('re_fft', 'E'))))), ('corr', 'N', ('min', 'N')), ('argmax', 'N'), 'E']"
20,0.829,"[('argmax', ('min', ('max', ('max', ('re_fft', 'E'))))), 'N', ('kurtosis', ('argmax', ('kurtosis', ('kurtosis', ('+', 'N', 'Z'))))), 'E', ('skew', ('re_fft', ('argmax', ('corr', 'Z', ('min', 'E'))))), 'E', 'E', ('kurtosis', ('max', ('max', ('skew', 'N')))), ('skew', 'N'), ('max', 'Z'), 'E', 'Z', ('skew', ('+', 'N', ('skew', ('min', ('corr', 'N', 'N'))))), ('kurtosis', 'E'), ('min', ('+', ('+', 'E', 'N'), ('kurtosis', ('re_fft', 'N')))), ('skew', ('max', ('min', 'Z'))), 'E', ('kurtosis', 'N'), ('corr', ('+', 'N', ('argmax', 'N')), ('re_fft', ('max', 'E'))), ('min', 'N')]"
20,0.827,"[('corr', ('skew', ('min', ('re_fft', ('+', 'Z', 'E')))), ('min', 'Z')), ('skew', ('skew', ('skew', ('+', ('+', 'E', 'N'), ('argmax', 'Z'))))), ('min', 'N'), ('re_fft', ('min', ('skew', ('re_fft', ('max', 'Z'))))), ('+', ('skew', 'Z'), ('+', 'N', ('max', ('kurtosis', ('min', 'Z'))))), ('skew', 'E'), ('corr', ('+', ('skew', ('+', 'N', 'E')), ('argmax', ('min', ('max', 'Z')))), ('re_fft', 'E')), ('max', ('kurtosis', 'N')), 'E', ('argmax', 'E'), ('kurtosis', ('kurtosis', 'N')), 'E', 'N', ('max', ('argmax', ('kurtosis', 'E'))), ('kurtosis', 'Z'), ('max', ('min', ('argmax', 'E'))), 'E', ('max', 'Z'), ('re_fft', ('kurtosis', ('+', ('kurtosis', 'Z'), ('min', ('+', 'Z', 'Z'))))), 'E']"
20,0.830,"[('min', ('min', ('max', ('corr', ('kurtosis', 'E'), ('argmax', 'Z'))))), 'Z', ('re_fft', ('skew', 'Z')), ('re_fft', ('min', ('min', ('max', ('skew', 'E'))))), ('max', ('min', ('re_fft', ('max', 'N')))), 'E', ('argmax', 'Z'), ('min', ('min', 'Z')), ('skew', ('re_fft', ('re_fft', ('min', ('kurtosis', 'N'))))), 'N', ('min', 'N'), ('min', ('min', 'Z')), ('kurtosis', ('+', ('kurtosis', ('corr', ('min', 'N'), ('corr', 'E', 'Z'))), 'Z')), ('argmax', ('+', ('+', 'N', ('skew', 'Z')), 'E')), ('max', ('kurtosis', ('kurtosis', 'N'))), ('re_fft', 'E'), ('kurtosis', ('+', ('re_fft', ('corr', ('+', 'N', 'E'), ('skew', 'E'))), ('max', 'E'))), ('argmax', 'Z'), ('min', ('re_fft', ('min', ('argmax', ('+', 'E', 'Z'))))), ('kurtosis', ('+', ('max', ('min', ('+', 'E', 'E'))), ('kurtosis', ('min', ('min', 'N')))))]"
20,0.810,"[('min', 'E'), 'N', ('argmax', ('argmax', ('+', ('+', ('max', 'Z'), ('+', 'N', 'Z')), 'N'))), ('skew', 'Z'), ('skew', ('kurtosis', ('+', ('kurtosis', ('min', 'Z')), ('max', ('skew', 'N'))))), ('re_fft', ('corr', ('max', ('min', ('argmax', 'Z'))), ('min', 'E'))), ('max', ('max', ('kurtosis', ('kurtosis', 'Z')))), ('+', 'Z', ('kurtosis', 'Z')), ('min', 'Z'), ('corr', ('argmax', ('kurtosis', 'N')), ('+', ('skew', 'Z'), ('argmax', ('max', ('corr', 'Z', 'E'))))), ('+', ('min', ('min', ('argmax', ('min', 'Z')))), 'E'), 'N', ('skew', 'E'), 'Z', ('+', 'E', ('skew', ('corr', ('min', ('argmax', 'N')), 'E'))), ('min', ('kurtosis', ('min', ('max', ('max', 'E'))))), ('corr', ('kurtosis', ('kurtosis', ('re_fft', 'N'))), ('skew', 'E')), ('skew', ('re_fft', ('+', 'N', 'E'))), 'N', ('argmax', 'Z')]"
20,0.835,"[('min', ('+', ('argmax', 'Z'), 'N')), ('+', ('argmax', ('argmax', ('re_fft', 'Z'))), ('kurtosis', ('skew', 'E'))), 'N', ('argmax', ('kurtosis', ('re_fft', 'E'))), ('skew', ('corr', ('kurtosis', ('kurtosis', ('skew', 'N'))), ('min', 'N'))), ('corr', ('corr', ('skew', ('kurtosis', ('+', 'N', 'E'))), ('kurtosis', ('max', ('re_fft', 'E')))), ('max', ('min', ('kurtosis', ('max', 'Z'))))), ('re_fft', ('kurtosis', 'Z')), 'E', ('skew', ('kurtosis', ('max', ('argmax', ('kurtosis', 'N'))))), 'E', ('max', ('max', ('argmax', ('corr', 'N', ('min', 'N'))))), 'E', 'Z', ('re_fft', ('corr', ('max', 'E'), ('max', ('max', ('max', 'Z'))))), 'N', ('corr', 'E', ('re_fft', ('skew', ('corr', ('re_fft', 'N'), ('max', 'N'))))), ('+', 'Z', ('argmax', 'N')), ('argmax', ('re_fft', ('re_fft', ('re_fft', ('max', 'Z'))))), 'N', 'E']"
20,0.848,"['Z', 'Z', ('skew', ('+', ('kurtosis', ('kurtosis', 'E')), ('+', ('argmax', 'N'), ('re_fft', ('argmax', 'Z'))))), ('skew', ('kurtosis', ('max', ('argmax', ('re_fft', 'N'))))), ('max', ('min', 'E')), 'N', 'N', 'N', ('argmax', ('min', 'Z')), ('re_fft', 'Z'), 'E', 'N', ('max', 'Z'), 'N', ('skew', ('kurtosis', ('min', ('+', ('kurtosis', 'Z'), ('max', 'N'))))), ('kurtosis', ('+', ('argmax', ('argmax', ('corr', 'E', 'N'))), ('re_fft', 'Z'))), 'Z', ('corr', ('max', ('kurtosis', ('+', 'N', ('max', 'E')))), ('min', ('+', 'Z', ('re_fft', ('skew', 'Z'))))), ('corr', ('kurtosis', ('argmax', ('argmax', ('skew', 'N')))), ('argmax', 'Z')), ('max', ('re_fft', ('skew', ('max', ('min', 'N')))))]"
25,0.854,"[('+', ('kurtosis', ('re_fft', ('skew', ('+', 'N', 'N')))), ('+', ('re_fft', ('max', ('min', 'E'))), 'N')), 'Z', ('skew', ('+', ('corr', ('max', ('kurtosis', 'Z')), ('re_fft', ('skew', 'Z'))), ('+', 'N', ('max', ('kurtosis', 'N'))))), 'N', 'E', ('skew', ('min', 'N')), ('kurtosis', ('re_fft', 'Z')), ('skew', 'N'), 'Z', ('+', ('kurtosis', ('corr', 'E', ('corr', 'N', ('corr', 'Z', 'Z')))), ('corr', 'E', ('corr', ('min', ('re_fft', 'E')), ('skew', ('re_fft', 'N'))))), ('max', ('re_fft', 'Z')), ('min', ('re_fft', 'N')), ('argmax', ('skew', ('re_fft', 'Z'))), ('argmax', ('max', 'N')), ('corr', ('kurtosis', ('max', 'N')), ('re_fft', ('min', ('skew', ('+', 'Z', 'N'))))), ('argmax', ('kurtosis', ('argmax', 'Z'))), ('kurtosis', 'N'), ('re_fft', ('re_fft', ('+', ('corr', ('max', 'E'), ('corr', 'Z', 'Z')), ('skew', ('skew', 'N'))))), ('kurtosis', 'E'), ('min', 'Z'), ('kurtosis', ('max', ('re_fft', ('corr', ('argmax', 'Z'), ('argmax', 'Z'))))), ('+', ('kurtosis', 'Z'), ('kurtosis', ('+', ('max', ('re_fft', 'E')), ('argmax', ('corr', 'E', 'Z'))))), ('min', ('kurtosis', 'N')), ('max', ('max', ('corr', ('min', ('min', 'N')), ('skew', 'N')))), ('min', ('min', ('skew', ('+', ('kurtosis', 'Z'), ('re_fft', 'Z')))))]"
25,0.814,"[('skew', ('argmax', 'N')), ('min', 'E'), 'E', ('skew', 'Z'), ('max', 'Z'), 'Z', 'E', 'Z', ('+', ('skew', 'N'), 'N'), 'Z', ('max', 'N'), ('re_fft', 'Z'), ('skew', ('re_fft', ('skew', ('+', ('argmax', 'Z'), 'N')))), ('min', ('kurtosis', ('max', 'N'))), ('re_fft', ('kurtosis', ('re_fft', ('skew', 'Z')))), ('corr', ('re_fft', 'Z'), 'E'), ('min', ('corr', ('max', ('min', ('argmax', 'Z'))), 'E')), ('re_fft', ('re_fft', ('skew', 'Z'))), ('corr', ('max', ('+', 'N', ('kurtosis', 'Z'))), 'N'), ('min', ('max', ('kurtosis', ('corr', ('argmax', 'Z'), ('skew', 'N'))))), 'N', ('min', ('max', ('re_fft', ('corr', ('corr', 'Z', 'N'), ('min', 'Z'))))), ('argmax', ('argmax', 'Z')), ('kurtosis', ('kurtosis', ('corr', 'N', ('re_fft', ('max', 'Z'))))), 'E']"
