,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,qualified_station,count
1323,CC,BH,SHRK,--,45.464,-121.529,1318.7,CC.SHRK.--,6
1364,UW,EH,FL2,--,46.196,-122.352,1378.0,UW.FL2.--,67
1412,UW,EH,HSR,--,46.174,-122.181,1720.0,UW.HSR.--,614
1520,CC,BH,JRO,--,46.275,-122.218,1219.0,CC.JRO.--,9
1529,CC,BH,SVIC,--,43.643,-121.253,1765.0,CC.SVIC.--,13
1582,UW,EH,EDM,--,46.197,-122.151,1609.0,UW.EDM.--,562
1593,CC,BH,CIHL,--,43.751,-121.149,1966.0,CC.CIHL.--,22
1595,UO,HH,PINE,--,43.792,-120.941,1914.0,UO.PINE.--,5
1603,UW,EH,STAR,--,46.851,-121.793,3365.0,UW.STAR.--,340
1617,PB,EH,B204,--,46.136,-122.169,784.2,PB.B204.--,171
1619,UW,EH,CDF,--,46.117,-122.046,756.0,UW.CDF.--,28
1828,PB,EH,B203,--,46.169,-122.334,814.4,PB.B203.--,70
2079,UW,EH,TDL,--,46.351,-122.217,1400.0,UW.TDL.--,37
2306,UW,EH,JUN,--,46.147,-122.152,1049.0,UW.JUN.--,44
2716,UW,EH,FMW,01,46.941,-121.671,1859.0,UW.FMW.01,1
3010,UW,EH,MOON,--,44.052,-121.67,2240.0,UW.MOON.--,14
3012,UW,HH,BLOW,--,44.684,-122.186,657.3,UW.BLOW.--,1
3025,UW,EH,NN21,01,43.733,-121.29,1903.0,UW.NN21.01,15
3027,UW,EH,NN17,01,43.721,-121.327,1701.0,UW.NN17.01,6
3102,UW,EH,NN32,01,43.704,-121.327,1401.0,UW.NN32.01,6
3319,UW,EH,WPW,--,46.699,-121.537,1280.0,UW.WPW.--,8
3497,UW,EH,VFP,--,45.318,-121.466,1716.0,UW.VFP.--,3
3716,TA,BH,G05D,--,45.242,-121.317,592.0,TA.G05D.--,2
4176,PB,EH,B941,--,46.987,-122.219,151.0,PB.B941.--,4
4203,UW,EH,VBE,--,45.06,-121.588,1544.0,UW.VBE.--,1
4416,UW,EH,GLK,--,46.557,-121.611,1305.0,UW.GLK.--,4
4418,UW,EH,GSM,--,47.204,-121.796,1313.0,UW.GSM.--,2
4419,UW,HH,STOR,--,47.188,-121.989,266.4,UW.STOR.--,1
4842,UO,EH,HUO,--,44.12,-121.849,2037.0,UO.HUO.--,16
5058,UW,EH,ASR,--,46.153,-121.602,1357.0,UW.ASR.--,2
5059,UW,EH,GUL,--,45.924,-121.597,1189.0,UW.GUL.--,1
5060,TA,BH,F05D,--,45.885,-121.46,472.0,TA.F05D.--,1
5095,UW,EH,LVP,--,46.066,-122.402,1130.0,UW.LVP.--,5
5255,UW,EH,TIMB,--,45.336,-121.71,1869.0,UW.TIMB.--,1
5581,CC,BH,SWFL,--,46.189,-122.202,2268.0,CC.SWFL.--,122
6046,CC,EH,NED,--,46.2,-122.186,2060.0,CC.NED.--,129
6129,UW,EH,GRUT,--,46.551,-119.51,205.8,UW.GRUT.--,1
6216,UW,EH,MBW,--,48.784,-121.901,1676.0,UW.MBW.--,7
6494,UW,EH,STD,--,46.238,-122.224,1268.0,UW.STD.--,25
6871,UW,EH,SUG,--,46.215,-122.176,1859.0,UW.SUG.--,70
6905,UW,EH,BKC,--,44.299,-121.697,1208.0,UW.BKC.--,2
7324,UW,EH,LCW,--,46.67,-122.702,396.0,UW.LCW.--,1
7352,CC,EH,SPN5,--,46.195,-122.188,2263.0,CC.SPN5.--,2
7355,UW,EH,YEL,--,46.209,-122.189,1750.0,UW.YEL.--,204
7391,UW,EH,MTM,--,46.025,-122.213,1121.0,UW.MTM.--,5
7431,UW,EH,RVW,--,46.15,-122.743,504.0,UW.RVW.--,1
7442,CC,EH,RAFT,--,46.196,-122.186,2132.0,CC.RAFT.--,1
7576,CC,EH,MIDE,--,46.198,-122.187,2132.0,CC.MIDE.--,1
7578,UW,EH,SEP,--,46.2,-122.191,2116.0,UW.SEP.--,674
7613,UW,EH,CMM,--,46.435,-122.507,620.0,UW.CMM.--,3
7956,UO,EH,FRIS,--,44.212,-122.102,1642.0,UO.FRIS.--,2
7987,UW,EH,FHE,--,46.952,-119.498,455.0,UW.FHE.--,3
7988,UW,EH,WIW,--,46.429,-119.289,128.0,UW.WIW.--,1
7990,UW,EH,MJ2,--,46.557,-119.36,146.0,UW.MJ2.--,4
7992,UW,EH,MDW,--,46.613,-119.762,330.0,UW.MDW.--,6
7997,UW,EH,WA2,--,46.755,-119.567,244.0,UW.WA2.--,16
8021,UW,EH,GBL,--,46.598,-119.461,330.0,UW.GBL.--,4
8359,UW,EH,KOS,--,46.463,-122.196,610.0,UW.KOS.--,1
8363,UW,EH,TBM,--,47.17,-120.599,1006.0,UW.TBM.--,2
8372,UW,EH,LOC,--,46.717,-119.432,210.0,UW.LOC.--,2
8378,UW,EH,OT3,--,46.669,-119.234,322.0,UW.OT3.--,2
8381,UW,EH,RSW,--,46.394,-119.592,1045.0,UW.RSW.--,1
8396,UW,EH,ETW,--,47.605,-120.332,1469.0,UW.ETW.--,1
8427,UW,EH,HDW,--,47.648,-123.055,1006.0,UW.HDW.--,2
8431,UW,EH,RPW,--,48.448,-121.515,850.0,UW.RPW.--,1
8620,UO,EH,IRO,--,44.005,-122.255,1642.0,UO.IRO.--,1
9216,UW,EH,BVW,--,46.811,-119.883,670.0,UW.BVW.--,1
9217,UW,EH,TWW,--,47.138,-120.869,1027.0,UW.TWW.--,1
9218,UW,EH,MEW,--,47.202,-122.647,97.0,UW.MEW.--,1
